name,brand,categories,primaryCategories,reviews_date,reviews_text,reviews_title,sentiment
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-05-18T00:00:00.000Z,"['i', 'got', 'this', 'tablet', 'to', 'replace', 'my', 'sons', 'old', 'one', 'i', 'love', 'the', 'adultchild', 'profile', 'and', 'the', 'ability', 'to', 'have', 'the', 'year', 'replacement', 'warranty', 'the', 'case', 'has', 'also', 'came', 'in', 'handy', 'many', 'times']",Great Tablet,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-06T00:00:00.000Z,"['great', 'product', 'for', 'the', 'kids', 'gaming', 'apps', 'parental', 'controls', 'to', 'make', 'sure', 'you', 'can', 'monitor', 'kids', 'and', 'prevent', 'unwanted', 'app', 'purchases']",Works great,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",Amazon,"Tablets,Fire Tablets,Electronics,Computers,Computer Components,Hard Drives & Storage,Computers & Tablets,All Tablets",Electronics,2017-01-16T00:00:00.000Z,"['love', 'the', 'choice', 'of', 'colors', 'have', 'two', 'kindles', 'of', 'my', 'own', 'and', 'purchased', 'this', 'for', 'a', 'gift']",great pad for both children and adults,positive
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",Amazon,"Fire Tablets,Tablets,All Tablets,Amazon Tablets",Electronics,2016-12-31T00:00:00.000Z,"['it', 'replaces', 'my', 'fire', 'kindle', 'love', 'the', 'hd', 'quality']","Love the Amazon 8"" HD",positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-28T00:00:00.000Z,"['we', 'bought', 'this', 'to', 'replace', 'my', 'children', 's', 'aging', 'ipads', 'and', 'they', 're', 'very', 'happy']",Awesome,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-31T00:00:00.000Z,"['this', 'was', 'a', 'great', 'purchase', 'love', 'the', 'fact', 'i', 'can', 'download', 'tv', 'or', 'movies', 'and', 'watch', 'offline', 'easy', 'set', 'up']",Great tablet!,positive
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-04-18T00:00:00.000Z,"['surprisingly', 'useful', 'ben', 'echo', 'is', 'much', 'better', 'than', 'gen', 'definitely', 'recommend']",It’s Good,positive
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2017-04-12T00:00:00.000Z,"['not', 'as', 'good', 'as', 'before', 'the', 'old', 'kindle', 'just', 'seams', 'to', 'work', 'better']",Not as good as before,positive
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-01T00:00:00.000Z,"['got', 'this', 'model', 'only', 'because', 'of', 'the', 'sale', 'price', 'and', 'the', 'built', 'in', 'hub', 'that', 'controls', 'my', 'hue', 'strip', 'lights', 'and', 'i', 'didnaot', 'want', 'to', 'say', 'google', 'all', 'the', 'time', 'sounds', 'like', 'baby', 'talk', 'to', 'me', 'lol']",Works great.....,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2018-02-25T00:00:00.000Z,"['i', 'was', 'a', 'little', 'hesitant', 'to', 'spend', 'the', 'money', 'to', 'get', 'this', 'but', 'i', 'am', 'so', 'glad', 'i', 'did', 'alexa', 'always', 'answers', 'when', 'i', 'say', 'the', 'commands', 'and', 'i', 'have', 'noticed', 'it', 'is', 'probably', 'right', 'with', 'any', 'command', 'that', 'i', 'have', 'given', 'love', 'the', 'fact', 'that', 'i', 'can', 'see', 'things', 'on', 'the', 'screen', 'some', 'of', 'my', 'news', 'briefings', 'have', 'a', 'picturevideo', 'so', 'that', 's', 'nice', 'too', 'we', 'also', 'love', 'the', 'video', 'call', 'option', 'planning', 'on', 'getting', 'one', 'for', 'my', 'grandma', 'who', 'is', 'not', 'as', 'technologically', 'advanced', 'and', 'could', 'just', 'sit', 'at', 'a', 'table', 'and', 'talk', 'with', 'the', 'grandkids', 'worth', 'every', 'penny']",So simple and powerful!,positive
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-20T00:00:00.000Z,"['alexa', 'exceed', 'expectations', 'in', 'it', 'ability', 'to', 'control']",Great Experience exceeds expectaton,positive
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-30T00:00:00.000Z,"['great', 'tablet', 'for', 'the', 'grandkids', 'they', 'love', 'it', 'great', 'item']",Great tablet,positive
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2016-09-13T00:00:00.000Z,"['for', 'those', 'that', 'have', 'prime', 'this', 'is', 'almost', 'a', 'must', 'have', 'keeps', 'all', 'your', 'amazon', 'stuff', 'in', 'one', 'place']",Great tablet for Amazon,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-14T00:00:00.000Z,"['it', 'is', 'small', 'enough', 'to', 'carry', 'in', 'your', 'purse', 'and', 'open', 'up', 'a', 'whole', 'new', 'world', 'while', 'waiting', 'at', 'appointments']",can download audio books,negative
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers",Electronics,2017-07-19T00:00:00.000Z,"['if', 'you', 'want', 'to', 'listen', 'to', 'music', 'you', 'will', 'have', 'to', 'sign', 'for', 'amazon', 'unlimited', 'or', 'prime', 'which', 'is', 'very', 'expensive', 'pandora', 'does', 'not', 'work', 'too', 'well', 'with', 'this', 'device', 'as', 'it', 'does', 'with', 'google', 'home']",Great product but requires Amazon membership...,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-30T00:00:00.000Z,"['this', 'was', 'a', 'gift', 'for', 'mom', 'she', 'enjoys', 'that', 'it', 's', 'easy', 'to', 'use', 'and', 'has', 'good', 'picture', 'and', 'sound', 'quality', 'the', 'price', 'was', 'also', 'great']",Great every day tablet,positive
"Amazon - Kindle Voyage - 6"" - 4GB - Black",Amazon,"eBook Readers,Electronics Features,Walmart for Business,Tablets,See more Amazon Kindle Voyage (Wi-Fi),Electronics,Office Electronics,iPad & Tablets,Kindle E-readers,E-Readers & Accessories,All Tablets,See more Amazon Kindle Voyage 4GB, Wi-Fi  3G (Unlocked...,Computers & Tablets",Electronics,2016-09-02T00:00:00.000Z,"['this', 'kindle', 'has', 'easier', 'viewing', 'and', 'the', 'light', 'adjustment', 'is', 'great']",We bought it for our son and he loves it.,positive
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2016-09-27T00:00:00.000Z,"['wanted', 'a', 'tablet', 'that', 'would', 'fit', 'in', 'my', 'purse', 'very', 'easy', 'to', 'use', 'would', 'buy', 'again']",Love it,positive
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2016-11-25T00:00:00.000Z,"['grand', 'kids', 'love', 'it', 'and', 'it', 'picked', 'up', 'the', 'network', 'in', 'short', 'order', 'they', 'like', 'the', 'idea', 'they', 'have', 'an', 'ipad', 'like', 'the', 'adults', 'well', 'implemented']","Love it, grandkids took to it immediately",positive
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers",Electronics,2017-08-04T00:00:00.000Z,"['good', 'but', 'setup', 'to', 'enable', 'voice', 'control', 'only', 'on', 'ios', 'is', 'unclear']",Good but setup to enable voice control only,negative
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2018-03-02T00:00:00.000Z,"['we', 'are', 'new', 'to', 'connected', 'home', 'equipment', 'i', 'got', 'this', 'for', 'my', 'wife', 'in', 'our', 'kitchen', 'the', 'only', 'thing', 'i', 'wish', 'was', 'different', 'would', 'be', 'that', 'the', 'amazon', 'show', 'would', 'communicate', 'directly', 'with', 'facetime', 'rather', 'than', 'having', 'to', 'have', 'someone', 'download', 'the', 'alexa', 'app', 'not', 'a', 'deal', 'breaker', 'by', 'any', 'means', 'though', 'we', 'love', 'it']",Love it,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2018-02-18T00:00:00.000Z,"['i', 'use', 'it', 'alot', 'to', 'play', 'music', 'instead', 'of', 'running', 'the', 'tv', 'for', 'my', 'dog', 'when', 'we', 'go', 'somewhere', 'i', 'use', 'it', 'for', 'a', 'lot', 'of', 'things']",I like it a lot.,positive
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-22T00:00:00.000Z,"['easy', 'to', 'set', 'up', 'easy', 'to', 'use', 'apps', 'are', 'awesome', 'and', 'sounds', 'great']",Love it!!,positive
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2016-12-30T00:00:00.000Z,"['this', 'is', 'a', 'great', 'tablet', 'for', 'basic', 'needs', 'internet', 'video', 'streaming', 'games', 'books', 'you', 'dont', 'need', 'an', 'ipad', 'get', 'one', 'of', 'these']",Great Cheap Tablet,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-11-05T00:00:00.000Z,"['i', 'like', 'this', 'tablet', 'it', 'has', 'everything', 'you', 'want', 'however', 'the', 'apps', 'within', 'it', 'need', 'to', 'be', 'updated', 'more', 'often', 'if', 'this', 'happened', 'than', 'it', 'would', 'be', 'top', 'above', 'an', 'ipad', 'mini', 'for', 'now', 'it', 'gives', 'me', 'enough', 'of', 'what', 'i', 'need', 'and', 'in', 'hd', 'for', 'it', 'was', 'a', 'good', 'deal']",Solid tablet with potential,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2018-01-26T00:00:00.000Z,"['worked', 'better', 'than', 'expected', 'highly', 'recommend', 'the', 'echo', 'show']",Awesome,positive
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-29T00:00:00.000Z,"['great', 'sound', 'quality', 'easy', 'to', 'set', 'up', 'easy', 'to', 'use', 'looks', 'good', 'too']",Great product.,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-04-09T00:00:00.000Z,"['this', 'tablet', 'is', 'quick', 'and', 'as', 'good', 'as', 'my', 'ipad', 'i', 'use', 'the', 'tablet', 'specifically', 'for', 'one', 'aspect', 'of', 'my', 'life', 'and', 'it', 'performs', 'great', 'i', 'am', 'pleasantly', 'surprised', 'by', 'its', 'performance']",Fabulous easy tablet,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2018-01-06T00:00:00.000Z,"['amazon', 's', 'echo', 'show', 'has', 'been', 'a', 'great', 'help', 'to', 'my', 'daily', 'rutine', 'from', 'asking', 'simple', 'things', 'like', 'the', 'weather', 'to', 'more', 'specific', 'things', 'like', 'flash', 'briefings', 'or', 'traffic', 'to', 'my', 'commute', 'echo', 'show', 'is', 'a', 'great', 'tool', 'for', 'any', 'tech', 'enthusiast']",Great Assistant,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-03-26T00:00:00.000Z,"['has', 'meet', 'all', 'my', 'needs', 'plus', 'some', 'recommend', 'you', 'buy', 'a', 'good', 'stylus', 'pen', 'at', 'the', 'same', 'time']",Does all that I need.,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-11-04T00:00:00.000Z,"['this', 'is', 'a', 'great', 'tablet', 'it', 'has', 'amazing', 'storage', 'i', 'use', 'mine', 'daily', 'great', 'for', 'reading', 'surfing', 'the', 'web', 'and', 'games', 'the', 'one', 'small', 'thing', 'i', 'do', 'nt', 'like', 'is', 'amazon', 'prime', 'shows', 'are', 'a', 'bit', 'dark', 'for', 'some', 'reason', 'hulu', 'and', 'netflix', 'work', 'wonderful']",Great tablet,positive
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-27T00:00:00.000Z,"['it', 's', 'a', 'good', 'tablet', 'and', 'comes', 'with', 'a', 'lot', 'of', 'free', 'apps', 'and', 'a', 'fantastic', 'warranty']",User friendly,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-22T00:00:00.000Z,"['i', 'use', 'it', 'in', 'my', 'office', 'as', 'a', 'personal', 'assistant', 'not', 'just', 'for', 'the', 'home']",Endless possibilities.,negative
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2018-02-21T00:00:00.000Z,"['tech', 'is', 'not', 'totally', 'friendly', 'but', 'for', 'the', 'cost', 'and', 'what', 'it', 'does', 'it', 'is', 'worth', 'the', 'investment']",Loved it,positive
